"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Jämtland","158.9 (136-183)","178.7 (161-198)","176.9 (163-192)","190.8 (178-204)","217.5 (202-233)","225.3 (210-241)","229.5 (215-245)","215.6 (202-230)","223.3 (209-239)","174.8 (162-188)"
"Norrbotten","162.5 (137-189)","168.5 (146-192)","168.2 (157-181)","173 (163-185)","178.4 (162-195)","194.1 (171-219)","200.9 (177-226)","211.4 (186-237)","230.5 (207-255)","219.7 (211-230)"
"Västerbotten","119.1 (105-135)","128.4 (114-144)","118.7 (108-130)","112.1 (101-124)","132.8 (121-145)","135.8 (125-147)","138.3 (128-150)","125.5 (113-139)","132.5 (120-146)","119.6 (111-130)"
"Västernorrland","21.7 (14-30)","21 (14-29)","25 (18-32)","33.9 (27-41)","40 (33-48)","45.7 (38-54)","49.8 (42-58)","66.3 (59-74)","57.2 (49-66)","39.7 (33-47)"
"Midtre","62.2 (48-77)","62.8 (51-76)","68.3 (58-79)","81.6 (73-91)","99.2 (89-110)","105.7 (94-118)","104.6 (94-116)","115.2 (105-126)","131.8 (122-143)","110.8 (100-122)"
"Dalarna","29.2 (21-38)","30.8 (24-38)","35.3 (29-42)","45.3 (39-51)","47.8 (41-56)","50.2 (43-58)","52.7 (45-61)","58.1 (51-65)","66.3 (60-73)","54.8 (48-62)"
"Gävleborg","15.3 (9-23)","16.2 (10-23)","17.5 (12-24)","21.3 (16-27)","34.9 (29-41)","34.9 (29-41)","33.4 (28-39)","33.6 (28-39)","41 (36-47)","33.1 (28-39)"
"Örebro","2.8 (0-7)","1.8 (0-5)","1.2 (0-4)","1.6 (0-4)","1.1 (0-4)","2 (0-5)","1.9 (0-5)","2 (0-5)","2.5 (0-6)","2.9 (0-6)"
"Stockholm","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)"
"Uppsala","2.6 (0-6)","1.9 (0-5)","1.4 (0-4)","1.1 (0-4)","1.5 (0-4)","1.7 (0-5)","1.3 (0-4)","1.2 (0-4)","2.1 (0-5)","2.6 (0-6)"
"Värmland","9.7 (5-15)","10.3 (6-15)","11.4 (7-16)","11.1 (8-14)","12.6 (9-16)","15.1 (11-20)","14 (10-19)","19 (15-23)","18.2 (14-23)","15.4 (11-20)"
"Västmanland","1.5 (0-4)","1 (0-3)","0.7 (0-3)","0.5 (0-2)","0.7 (0-3)","0.9 (0-3)","0.7 (0-3)","0.6 (0-3)","0.9 (0-3)","1.1 (0-3)"
"VästraGötaland","1.1 (0-4)","0.9 (0-3)","0.7 (0-3)","0.6 (0-2)","0.6 (0-3)","0.7 (0-3)","0.6 (0-3)","0.6 (0-2)","0.9 (0-3)","1 (0-3)"
"SÃ¸ndre","0.4 (0-2)","0.3 (0-2)","0.3 (0-2)","0.2 (0-2)","0.3 (0-2)","0.3 (0-2)","0.3 (0-2)","0.3 (0-2)","0.4 (0-2)","0.4 (0-2)"
"Östergötland","0.2 (0-1)","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.2 (0-1)"
"Södermanland","0.2 (0-1)","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.2 (0-2)"
