"","2014/2015","2015/2016","2016/2017","2017/2018","2018/2019","2019/2020","2020/2021","2021/2022","2022/2023","2023/2024"
"VästraGötaland","22.9 (16-31)","8.6 (5-13)","5.5 (2-10)","8.6 (5-13)","13 (8-18)","5.3 (3-8)","18.3 (13-24)","19.3 (14-25)","31.7 (27-37)","44.2 (39-49)"
"Södre","34.4 (23-48)","14.2 (7-23)","12.5 (8-18)","20.9 (18-25)","14.2 (9-21)","21.6 (18-26)","33.8 (27-41)","49.6 (43-57)","73.8 (68-80)","71.7 (66-79)"
"Blekinge","1.3 (0-4)","0.5 (0-2)","1.2 (1-2)","0.1 (0-1)","0.2 (0-1)","0.2 (0-1)","0.2 (0-1)","0.3 (0-2)","0.1 (0-1)","0.3 (0-2)"
"Halland","2.6 (0-6)","0.6 (0-3)","0.4 (0-2)","0.2 (0-1)","0.5 (0-2)","0.3 (0-2)","1.6 (1-3)","0.8 (0-3)","1.2 (0-3)","2.2 (1-4)"
"Jönköping","6.1 (2-11)","2.9 (1-6)","1 (0-3)","0.6 (0-2)","1.4 (0-4)","1.4 (0-3)","2.9 (1-6)","9 (6-13)","13.8 (11-17)","8.9 (6-13)"
"Kalmar","3.9 (1-8)","1.3 (0-4)","0.5 (0-2)","1.1 (0-3)","1.7 (1-4)","0.5 (0-2)","1.8 (1-4)","1.2 (0-4)","0.8 (0-3)","1.2 (0-4)"
"Kronoberg","5 (1-10)","2.1 (0-5)","1.6 (1-3)","0.6 (0-2)","0.8 (0-3)","0.7 (0-2)","2 (1-4)","2 (1-4)","3.2 (2-5)","4.9 (3-8)"
"Östergötland","5.9 (2-11)","2.4 (0-6)","2.6 (1-6)","3.7 (3-6)","4.2 (2-8)","10 (9-12)","8.4 (6-12)","12.1 (9-16)","10.4 (9-13)","10.4 (8-14)"
"Skåne","4.8 (1-10)","1.7 (0-5)","1.5 (1-3)","2.1 (1-4)","0.7 (0-3)","0.4 (0-2)","2.8 (2-5)","5 (4-7)","12.3 (12-14)","17.8 (17-20)"
"Södermanland","4.8 (1-9)","2.8 (0-6)","3.6 (2-6)","12.4 (11-15)","4.8 (2-8)","8.1 (6-11)","14 (10-18)","19.3 (16-24)","32 (29-36)","26 (24-29)"
